product_name,product_price,product_url
"Kinyo 吹風機 800W, KH-193, 米色",$539,https://www.tw.coupang.com/products/Kinyo-%E5%90%B9%E9%A2%A8%E6%A9%9F-800W-451221991178240?itemId=451221991161858&vendorItemId=451221991161857&sourceType=search&rank=&searchId=d6717db97b3e4525b41640e0fec579f7&q=%E5%90%B9%E9%A2%A8%E6%A9%9F
"Kinyo 輕巧負離子吹風機 1000W 140 x 70 x 220mm, KH-9505, 白色",$429,https://www.tw.coupang.com/products/Kinyo-%E8%BC%95%E5%B7%A7%E8%B2%A0%E9%9B%A2%E5%AD%90%E5%90%B9%E9%A2%A8%E6%A9%9F-1000W-140-x-70-x-220mm-451221991129091?itemId=451221991145477&vendorItemId=451221991145473&sourceType=search&rank=1&searchId=d6717db97b3e4525b41640e0fec579f7&q=%E5%90%B9%E9%A2%A8%E6%A9%9F
"Kinyo 吹風機 1200W 15 x 25 x 7.3cm 455g, KH-9201, 灰色",$864,https://www.tw.coupang.com/products/Kinyo-%E5%90%B9%E9%A2%A8%E6%A9%9F-1200W-15-x-25-x-7.3cm-455g-451534735212547?itemId=451534735228930&vendorItemId=451534735212545&sourceType=search&rank=2&searchId=d6717db97b3e4525b41640e0fec579f7&q=%E5%90%B9%E9%A2%A8%E6%A9%9F
"PHILIPS 飛利浦 ThermoProtect吹風機 2200W, HP8232/00, 白色 金色",$875,https://www.tw.coupang.com/products/PHILIPS-%E9%A3%9B%E5%88%A9%E6%B5%A6-ThermoProtect%E5%90%B9%E9%A2%A8%E6%A9%9F-2200W-21001161017165?itemId=21002137603047&vendorItemId=21003205699061&sourceType=search&rank=3&searchId=d6717db97b3e4525b41640e0fec579f7&q=%E5%90%B9%E9%A2%A8%E6%A9%9F
"PHILIPS 飛利浦 5000系列智能護髮負離子吹風機 2200W, BHD538/29, 黑色 玫瑰金","$1,258",https://www.tw.coupang.com/products/PHILIPS-%E9%A3%9B%E5%88%A9%E6%B5%A6-5000%E7%B3%BB%E5%88%97%E6%99%BA%E8%83%BD%E8%AD%B7%E9%AB%AE%E8%B2%A0%E9%9B%A2%E5%AD%90%E5%90%B9%E9%A2%A8%E6%A9%9F-2200W-21006057738702?itemId=21011126236534&vendorItemId=21078404890355&sourceType=search&rank=4&searchId=d6717db97b3e4525b41640e0fec579f7&q=%E5%90%B9%E9%A2%A8%E6%A9%9F
"Kinyo 輕巧水潤負離子吹風機 1000W 110V 220 x 140 x 70mm 370g, KH-9505, 黑色",$429,https://www.tw.coupang.com/products/Kinyo-%E8%BC%95%E5%B7%A7%E6%B0%B4%E6%BD%A4%E8%B2%A0%E9%9B%A2%E5%AD%90%E5%90%B9%E9%A2%A8%E6%A9%9F-1000W-110V-220-x-140-x-70mm-370g-451221991129091?itemId=451221991178241&vendorItemId=451221991129090&sourceType=search&rank=5&searchId=d6717db97b3e4525b41640e0fec579f7&q=%E5%90%B9%E9%A2%A8%E6%A9%9F
"PHILIPS 飛利浦 負離子恆溫吹風機 BHD500/09 2200W, 白色",$814,https://www.tw.coupang.com/products/PHILIPS-%E9%A3%9B%E5%88%A9%E6%B5%A6-%E8%B2%A0%E9%9B%A2%E5%AD%90%E6%81%86%E6%BA%AB%E5%90%B9%E9%A2%A8%E6%A9%9F-BHD500%2F09-2200W-21006059522827?itemId=21011135944970&vendorItemId=21078414448438&sourceType=search&rank=6&searchId=d6717db97b3e4525b41640e0fec579f7&q=%E5%90%B9%E9%A2%A8%E6%A9%9F
"達新牌 雙電壓折疊吹風機 1400W, FD-176",$432,https://www.tw.coupang.com/products/%E9%81%94%E6%96%B0%E7%89%8C-%E9%9B%99%E9%9B%BB%E5%A3%93%E6%8A%98%E7%96%8A%E5%90%B9%E9%A2%A8%E6%A9%9F-1400W-451607921672192?itemId=451607921655808&vendorItemId=451607921639425&sourceType=search&rank=7&searchId=d6717db97b3e4525b41640e0fec579f7&q=%E5%90%B9%E9%A2%A8%E6%A9%9F
"Kinyo 陶瓷負離子吹風機 1200W, KH-9201, 粉色",$864,https://www.tw.coupang.com/products/Kinyo-%E9%99%B6%E7%93%B7%E8%B2%A0%E9%9B%A2%E5%AD%90%E5%90%B9%E9%A2%A8%E6%A9%9F-1200W-451534739423234?itemId=451534739456001&vendorItemId=451534739456000&sourceType=search&rank=8&searchId=d6717db97b3e4525b41640e0fec579f7&q=%E5%90%B9%E9%A2%A8%E6%A9%9F
"Kinyo 雙電壓折疊式吹風機, KH-192, 白色",$288,https://www.tw.coupang.com/products/Kinyo-%E9%9B%99%E9%9B%BB%E5%A3%93%E6%8A%98%E7%96%8A%E5%BC%8F%E5%90%B9%E9%A2%A8%E6%A9%9F-451645603299328?itemId=451645603282944&vendorItemId=451645599072264&sourceType=search&rank=9&searchId=d6717db97b3e4525b41640e0fec579f7&q=%E5%90%B9%E9%A2%A8%E6%A9%9F
"Happy+ Superstorm 專業吹風機 BY-596 1600~1800W, 單色",$490,https://www.tw.coupang.com/products/Happy%2B-Superstorm-%E5%B0%88%E6%A5%AD%E5%90%B9%E9%A2%A8%E6%A9%9F-BY-596-1600~1800W-21001947193759?itemId=21003305973560&vendorItemId=21071292879569&sourceType=search&rank=10&searchId=d6717db97b3e4525b41640e0fec579f7&q=%E5%90%B9%E9%A2%A8%E6%A9%9F
"VS 沙宣 強風吹風機, VSD120K, 黑色玫瑰金",$518,https://www.tw.coupang.com/products/VS-%E6%B2%99%E5%AE%A3-%E5%BC%B7%E9%A2%A8%E5%90%B9%E9%A2%A8%E6%A9%9F-21000035671790?itemId=21000132330692&vendorItemId=21003277789269&sourceType=search&rank=11&searchId=d6717db97b3e4525b41640e0fec579f7&q=%E5%90%B9%E9%A2%A8%E6%A9%9F
"Kinyo 時尚輕巧吹風機 750W 180 x 190 x 75mm 300g, KH-7502, 棕色",$232,https://www.tw.coupang.com/products/Kinyo-%E6%99%82%E5%B0%9A%E8%BC%95%E5%B7%A7%E5%90%B9%E9%A2%A8%E6%A9%9F-750W-180-x-190-x-75mm-300g-451645599088649?itemId=451645599072260&vendorItemId=451645599072259&sourceType=search&rank=12&searchId=d6717db97b3e4525b41640e0fec579f7&q=%E5%90%B9%E9%A2%A8%E6%A9%9F
"ShowSee 負離子吹風機 1800W, A1-W, 白色",$405,https://www.tw.coupang.com/products/ShowSee-%E8%B2%A0%E9%9B%A2%E5%AD%90%E5%90%B9%E9%A2%A8%E6%A9%9F-1800W-21005889660429?itemId=21010353114603&vendorItemId=21077635291820&sourceType=search&rank=13&searchId=d6717db97b3e4525b41640e0fec579f7&q=%E5%90%B9%E9%A2%A8%E6%A9%9F
