product_name,product_price,product_url
SINJIMORU MagSafe彩色矽膠手機殼,$405,https://www.tw.coupang.com/products/SINJIMORU-MagSafe%E5%BD%A9%E8%89%B2%E7%9F%BD%E8%86%A0%E6%89%8B%E6%A9%9F%E6%AE%BC-21005605840755?itemId=21009043834762&vendorItemId=21076330228071&sourceType=search&rank=&searchId=c1feaa7ba0d34c1fa053dafd4bc7ce6e&q=%E6%89%8B%E6%A9%9F%E6%AE%BC
SMC Eppeum MagSafe 保險桿箱 BAR 型,$286,https://www.tw.coupang.com/products/SMC-Eppeum-MagSafe-%E4%BF%9D%E9%9A%AA%E6%A1%BF%E7%AE%B1-BAR-%E5%9E%8B-21007458775363?itemId=21020133194511&vendorItemId=21087227104185&sourceType=search&rank=1&searchId=c1feaa7ba0d34c1fa053dafd4bc7ce6e&q=%E6%89%8B%E6%A9%9F%E6%AE%BC
Miak MagSafe手機殼,$219,https://www.tw.coupang.com/products/Miak-MagSafe%E6%89%8B%E6%A9%9F%E6%AE%BC-21006518905766?itemId=21016094827541&vendorItemId=21085474619764&sourceType=search&rank=2&searchId=c1feaa7ba0d34c1fa053dafd4bc7ce6e&q=%E6%89%8B%E6%A9%9F%E6%AE%BC
SINJIMORU iPhone Magsafe M Airclaw透明磁吸式手機殼,$318,https://www.tw.coupang.com/products/SINJIMORU-iPhone-Magsafe-M-Airclaw%E9%80%8F%E6%98%8E%E7%A3%81%E5%90%B8%E5%BC%8F%E6%89%8B%E6%A9%9F%E6%AE%BC-21006717918150?itemId=21015617540672&vendorItemId=21082835358824&sourceType=search&rank=3&searchId=c1feaa7ba0d34c1fa053dafd4bc7ce6e&q=%E6%89%8B%E6%A9%9F%E6%AE%BC
Home Planet Perfect Fit 手機殼,$126,https://www.tw.coupang.com/products/Home-Planet-Perfect-Fit-%E6%89%8B%E6%A9%9F%E6%AE%BC-162096742383619?itemId=162096297754628&vendorItemId=162097161797632&sourceType=search&rank=4&searchId=c1feaa7ba0d34c1fa053dafd4bc7ce6e&q=%E6%89%8B%E6%A9%9F%E6%AE%BC
DesignReflex MagSafe 皮革手機殼,$416,https://www.tw.coupang.com/products/DesignReflex-MagSafe-%E7%9A%AE%E9%9D%A9%E6%89%8B%E6%A9%9F%E6%AE%BC-21007643185014?itemId=21020548594513&vendorItemId=21087624845249&sourceType=search&rank=5&searchId=c1feaa7ba0d34c1fa053dafd4bc7ce6e&q=%E6%89%8B%E6%A9%9F%E6%AE%BC
TRYCOZY 軟質基本凝膠硬質 MagSafe 手機殼 + MagSafe 智慧通話套裝,$341,https://www.tw.coupang.com/products/TRYCOZY-%E8%BB%9F%E8%B3%AA%E5%9F%BA%E6%9C%AC%E5%87%9D%E8%86%A0%E7%A1%AC%E8%B3%AA-MagSafe-%E6%89%8B%E6%A9%9F%E6%AE%BC-%2B-MagSafe-%E6%99%BA%E6%85%A7%E9%80%9A%E8%A9%B1%E5%A5%97%E8%A3%9D-21008019756993?itemId=21022408370816&vendorItemId=21089453230466&sourceType=search&rank=6&searchId=c1feaa7ba0d34c1fa053dafd4bc7ce6e&q=%E6%89%8B%E6%A9%9F%E6%AE%BC
Home Planet 4DX 四角防摔手機殼,$145,https://www.tw.coupang.com/products/Home-Planet-4DX-%E5%9B%9B%E8%A7%92%E9%98%B2%E6%91%94%E6%89%8B%E6%A9%9F%E6%AE%BC-162097165991936?itemId=162096297754626&vendorItemId=162096297754625&sourceType=search&rank=7&searchId=c1feaa7ba0d34c1fa053dafd4bc7ce6e&q=%E6%89%8B%E6%A9%9F%E6%AE%BC
倍思 MagSafe 相容磁性磨砂全覆蓋優質皮革手機殼,$274,https://www.tw.coupang.com/products/%E5%80%8D%E6%80%9D-MagSafe-%E7%9B%B8%E5%AE%B9%E7%A3%81%E6%80%A7%E7%A3%A8%E7%A0%82%E5%85%A8%E8%A6%86%E8%93%8B%E5%84%AA%E8%B3%AA%E7%9A%AE%E9%9D%A9%E6%89%8B%E6%A9%9F%E6%AE%BC-21007584309406?itemId=21020027237137&vendorItemId=21087123865088&sourceType=search&rank=8&searchId=c1feaa7ba0d34c1fa053dafd4bc7ce6e&q=%E6%89%8B%E6%A9%9F%E6%AE%BC
GOOSPERY 2倍防摔MagSafe手機殼,$289,https://www.tw.coupang.com/products/GOOSPERY-2%E5%80%8D%E9%98%B2%E6%91%94MagSafe%E6%89%8B%E6%A9%9F%E6%AE%BC-21006772174392?itemId=21020054423604&vendorItemId=21087150564022&sourceType=search&rank=9&searchId=c1feaa7ba0d34c1fa053dafd4bc7ce6e&q=%E6%89%8B%E6%A9%9F%E6%AE%BC
Nuat Magsafe 兼容 Hazel 矽膠手機殼,$380,https://www.tw.coupang.com/products/Nuat-Magsafe-%E5%85%BC%E5%AE%B9-Hazel-%E7%9F%BD%E8%86%A0%E6%89%8B%E6%A9%9F%E6%AE%BC-21006122228270?itemId=21019989378452&vendorItemId=21087087328057&sourceType=search&rank=10&searchId=c1feaa7ba0d34c1fa053dafd4bc7ce6e&q=%E6%89%8B%E6%A9%9F%E6%AE%BC
Ventosa 強磁 MagSafe 手機殼,$215,https://www.tw.coupang.com/products/Ventosa-%E5%BC%B7%E7%A3%81-MagSafe-%E6%89%8B%E6%A9%9F%E6%AE%BC-21007813760709?itemId=21021203001494&vendorItemId=21088264261214&sourceType=search&rank=11&searchId=c1feaa7ba0d34c1fa053dafd4bc7ce6e&q=%E6%89%8B%E6%A9%9F%E6%AE%BC
馬耳他 Cutetiz MagSafe 凝膠硬手機殼,$488,https://www.tw.coupang.com/products/%E9%A6%AC%E8%80%B3%E4%BB%96-Cutetiz-MagSafe-%E5%87%9D%E8%86%A0%E7%A1%AC%E6%89%8B%E6%A9%9F%E6%AE%BC-21007677986001?itemId=21020500179855&vendorItemId=21087578386245&sourceType=search&rank=12&searchId=c1feaa7ba0d34c1fa053dafd4bc7ce6e&q=%E6%89%8B%E6%A9%9F%E6%AE%BC
Onenough 小熊指環手機殼,$239,https://www.tw.coupang.com/products/Onenough-%E5%B0%8F%E7%86%8A%E6%8C%87%E7%92%B0%E6%89%8B%E6%A9%9F%E6%AE%BC-21006320364957?itemId=21013169395919&vendorItemId=21080428074381&sourceType=search&rank=13&searchId=c1feaa7ba0d34c1fa053dafd4bc7ce6e&q=%E6%89%8B%E6%A9%9F%E6%AE%BC
SINJIMORU 彩色矽膠手機殼,$239,https://www.tw.coupang.com/products/SINJIMORU-%E5%BD%A9%E8%89%B2%E7%9F%BD%E8%86%A0%E6%89%8B%E6%A9%9F%E6%AE%BC-21005546126792?itemId=21008749530629&vendorItemId=21076036513030&sourceType=search&rank=14&searchId=c1feaa7ba0d34c1fa053dafd4bc7ce6e&q=%E6%89%8B%E6%A9%9F%E6%AE%BC
Onenough 強磁 MagSafe 直立式磨砂手機殼,$288,https://www.tw.coupang.com/products/Onenough-%E5%BC%B7%E7%A3%81-MagSafe-%E7%9B%B4%E7%AB%8B%E5%BC%8F%E7%A3%A8%E7%A0%82%E6%89%8B%E6%A9%9F%E6%AE%BC-21007967234488?itemId=21022434345862&vendorItemId=21089478944636&sourceType=search&rank=15&searchId=c1feaa7ba0d34c1fa053dafd4bc7ce6e&q=%E6%89%8B%E6%A9%9F%E6%AE%BC
Morancano Impact 設計 MagSafe 手機殼,$590,https://www.tw.coupang.com/products/Morancano-Impact-%E8%A8%AD%E8%A8%88-MagSafe-%E6%89%8B%E6%A9%9F%E6%AE%BC-21007814665790?itemId=21019177483858&vendorItemId=21086295447665&sourceType=search&rank=16&searchId=c1feaa7ba0d34c1fa053dafd4bc7ce6e&q=%E6%89%8B%E6%A9%9F%E6%AE%BC
QUICKPIN 透明防摔手機殼,$157,https://www.tw.coupang.com/products/QUICKPIN-%E9%80%8F%E6%98%8E%E9%98%B2%E6%91%94%E6%89%8B%E6%A9%9F%E6%AE%BC-21005309135927?itemId=21007687197532&vendorItemId=21074977480510&sourceType=search&rank=17&searchId=c1feaa7ba0d34c1fa053dafd4bc7ce6e&q=%E6%89%8B%E6%A9%9F%E6%AE%BC
Nuart MagSafe 磁性彩色邊緣全覆蓋手機殼,$236,https://www.tw.coupang.com/products/Nuart-MagSafe-%E7%A3%81%E6%80%A7%E5%BD%A9%E8%89%B2%E9%82%8A%E7%B7%A3%E5%85%A8%E8%A6%86%E8%93%8B%E6%89%8B%E6%A9%9F%E6%AE%BC-21007581264463?itemId=21019990749696&vendorItemId=21087088623287&sourceType=search&rank=18&searchId=c1feaa7ba0d34c1fa053dafd4bc7ce6e&q=%E6%89%8B%E6%A9%9F%E6%AE%BC
URBANSTITCH Artisanflex 手機殼,$228,https://www.tw.coupang.com/products/URBANSTITCH-Artisanflex-%E6%89%8B%E6%A9%9F%E6%AE%BC-21006101543177?itemId=21002423189909&vendorItemId=21070417297806&sourceType=search&rank=19&searchId=c1feaa7ba0d34c1fa053dafd4bc7ce6e&q=%E6%89%8B%E6%A9%9F%E6%AE%BC
"SINJIMORU 雙磁吸 MagSafe M 超薄卡槽錢包手機殼, 單一顏色, 1個",$342,https://www.tw.coupang.com/products/SINJIMORU-%E9%9B%99%E7%A3%81%E5%90%B8-MagSafe-M-%E8%B6%85%E8%96%84%E5%8D%A1%E6%A7%BD%E9%8C%A2%E5%8C%85%E6%89%8B%E6%A9%9F%E6%AE%BC-21007038328078?itemId=21017397290737&vendorItemId=21084566750234&sourceType=search&rank=20&searchId=c1feaa7ba0d34c1fa053dafd4bc7ce6e&q=%E6%89%8B%E6%A9%9F%E6%AE%BC
Maltese Cuties MagSafe 凝膠硬手機殼,$484,https://www.tw.coupang.com/products/Maltese-Cuties-MagSafe-%E5%87%9D%E8%86%A0%E7%A1%AC%E6%89%8B%E6%A9%9F%E6%AE%BC-21007823289088?itemId=21021256233091&vendorItemId=21088316679051&sourceType=search&rank=21&searchId=c1feaa7ba0d34c1fa053dafd4bc7ce6e&q=%E6%89%8B%E6%A9%9F%E6%AE%BC
Care Bears 彩繪閃粉手機殼,$381,https://www.tw.coupang.com/products/Care-Bears-%E5%BD%A9%E7%B9%AA%E9%96%83%E7%B2%89%E6%89%8B%E6%A9%9F%E6%AE%BC-21006424405902?itemId=21017816909976&vendorItemId=21084980844983&sourceType=search&rank=22&searchId=c1feaa7ba0d34c1fa053dafd4bc7ce6e&q=%E6%89%8B%E6%A9%9F%E6%AE%BC
RORENTECH 透明坦克軍規防摔手機殼,$100,https://www.tw.coupang.com/products/RORENTECH-%E9%80%8F%E6%98%8E%E5%9D%A6%E5%85%8B%E8%BB%8D%E8%A6%8F%E9%98%B2%E6%91%94%E6%89%8B%E6%A9%9F%E6%AE%BC-21005659357422?itemId=21010659677033&vendorItemId=21078495927399&sourceType=search&rank=23&searchId=c1feaa7ba0d34c1fa053dafd4bc7ce6e&q=%E6%89%8B%E6%A9%9F%E6%AE%BC
Bone 蹦克 泡泡保護套,$278,https://www.tw.coupang.com/products/Bone-%E8%B9%A6%E5%85%8B-%E6%B3%A1%E6%B3%A1%E4%BF%9D%E8%AD%B7%E5%A5%97-318249065463814?itemId=318250516725764&vendorItemId=318251473010688&sourceType=search&rank=24&searchId=c1feaa7ba0d34c1fa053dafd4bc7ce6e&q=%E6%89%8B%E6%A9%9F%E6%AE%BC
