product_name,product_price,product_url
"ESENSE 逸盛 E-C11 冷光五風扇筆電散熱墊 22-WNF011BK 380 x 290 x 32mm, 黑色",$359,https://www.tw.coupang.com/products/ESENSE-%E9%80%B8%E7%9B%9B-E-C11-%E5%86%B7%E5%85%89%E4%BA%94%E9%A2%A8%E6%89%87%E7%AD%86%E9%9B%BB%E6%95%A3%E7%86%B1%E5%A2%8A-22-WNF011BK-380-x-290-x-32mm-290735156871169?itemId=290735156871170&vendorItemId=290736134127618&sourceType=search&rank=&searchId=59c5a18b417848608f600cff327cf4c4&q=%E7%AD%86%E9%9B%BB
"SOYMIX 10X10 皮革筆電包, 黑色的",$294,https://www.tw.coupang.com/products/SOYMIX-10X10-%E7%9A%AE%E9%9D%A9%E7%AD%86%E9%9B%BB%E5%8C%85-21000147529262?itemId=21000426808552&vendorItemId=21004051672736&sourceType=search&rank=1&searchId=59c5a18b417848608f600cff327cf4c4&q=%E7%AD%86%E9%9B%BB
"Dest 筆記型電腦包, 黑色的",$339,https://www.tw.coupang.com/products/Dest-%E7%AD%86%E8%A8%98%E5%9E%8B%E9%9B%BB%E8%85%A6%E5%8C%85-21000129865830?itemId=21000382237151&vendorItemId=21003927542549&sourceType=search&rank=2&searchId=59c5a18b417848608f600cff327cf4c4&q=%E7%AD%86%E9%9B%BB
"Home Planet 可調節鋁合金筆電增高架, 銀色, 1個",$563,https://www.tw.coupang.com/products/Home-Planet-%E5%8F%AF%E8%AA%BF%E7%AF%80%E9%8B%81%E5%90%88%E9%87%91%E7%AD%86%E9%9B%BB%E5%A2%9E%E9%AB%98%E6%9E%B6-21004674285118?itemId=21005848037892&vendorItemId=21073146292765&sourceType=search&rank=3&searchId=59c5a18b417848608f600cff327cf4c4&q=%E7%AD%86%E9%9B%BB
"Dist Jelly Coco 筆記本電腦包 + Pin Button Set 2, 筆電包(海軍藍)+別針(A+B)",$360,https://www.tw.coupang.com/products/Dist-Jelly-Coco-%E7%AD%86%E8%A8%98%E6%9C%AC%E9%9B%BB%E8%85%A6%E5%8C%85-%2B-Pin-Button-Set-2-21007706680913?itemId=21020647582938&vendorItemId=21070896200691&sourceType=search&rank=4&searchId=59c5a18b417848608f600cff327cf4c4&q=%E7%AD%86%E9%9B%BB
"7段高度調節筆電支架, 白色的",$45,https://www.tw.coupang.com/products/7%E6%AE%B5%E9%AB%98%E5%BA%A6%E8%AA%BF%E7%AF%80%E7%AD%86%E9%9B%BB%E6%94%AF%E6%9E%B6-21005335691365?itemId=21007803242657&vendorItemId=21075093238200&sourceType=search&rank=5&searchId=59c5a18b417848608f600cff327cf4c4&q=%E7%AD%86%E9%9B%BB
"LG Gram真皮筆記型電腦包, Brown+Beige",$236,https://www.tw.coupang.com/products/LG-Gram%E7%9C%9F%E7%9A%AE%E7%AD%86%E8%A8%98%E5%9E%8B%E9%9B%BB%E8%85%A6%E5%8C%85-21001898279500?itemId=21003224715897&vendorItemId=21004399787510&sourceType=search&rank=6&searchId=59c5a18b417848608f600cff327cf4c4&q=%E7%AD%86%E9%9B%BB
"筆電支架, 灰色的",$519,https://www.tw.coupang.com/products/%E7%AD%86%E9%9B%BB%E6%94%AF%E6%9E%B6-21004570902753?itemId=21006187064130&vendorItemId=21078485989670&sourceType=search&rank=7&searchId=59c5a18b417848608f600cff327cf4c4&q=%E7%AD%86%E9%9B%BB
"Kording 多口袋筆記本電腦包 KD-19, 灰色的",$266,https://www.tw.coupang.com/products/Kording-%E5%A4%9A%E5%8F%A3%E8%A2%8B%E7%AD%86%E8%A8%98%E6%9C%AC%E9%9B%BB%E8%85%A6%E5%8C%85-KD-19-21005309109198?itemId=21007687111519&vendorItemId=21074977393886&sourceType=search&rank=8&searchId=59c5a18b417848608f600cff327cf4c4&q=%E7%AD%86%E9%9B%BB
"DEST JELLYCOCO 筆記型電腦包 + 夾扣 2件套裝, 筆電包(黑色)+別針(A+B)",$360,https://www.tw.coupang.com/products/DEST-JELLYCOCO-%E7%AD%86%E8%A8%98%E5%9E%8B%E9%9B%BB%E8%85%A6%E5%8C%85-%2B-%E5%A4%BE%E6%89%A3-2%E4%BB%B6%E5%A5%97%E8%A3%9D-21007706680913?itemId=21020647590562&vendorItemId=21070896200724&sourceType=search&rank=9&searchId=59c5a18b417848608f600cff327cf4c4&q=%E7%AD%86%E9%9B%BB
"Home Planet 升降摺疊筆電桌, 橡木色",$627,https://www.tw.coupang.com/products/Home-Planet-%E5%8D%87%E9%99%8D%E6%91%BA%E7%96%8A%E7%AD%86%E9%9B%BB%E6%A1%8C-169967366422528?itemId=169967366422529&vendorItemId=169966879850496&sourceType=search&rank=10&searchId=59c5a18b417848608f600cff327cf4c4&q=%E7%AD%86%E9%9B%BB
"Home Planet 鋁製筆記型電腦支架 MR-MS-NB01, 銀色",$722,https://www.tw.coupang.com/products/Home-Planet-%E9%8B%81%E8%A3%BD%E7%AD%86%E8%A8%98%E5%9E%8B%E9%9B%BB%E8%85%A6%E6%94%AF%E6%9E%B6-MR-MS-NB01-162104665407489?itemId=162103797170177&vendorItemId=162104665407488&sourceType=search&rank=11&searchId=59c5a18b417848608f600cff327cf4c4&q=%E7%AD%86%E9%9B%BB
"Macbook Pro 13吋通用矽膠鍵盤套, 黑色的, 1個",$86,https://www.tw.coupang.com/products/Macbook-Pro-13%E5%90%8B%E9%80%9A%E7%94%A8%E7%9F%BD%E8%86%A0%E9%8D%B5%E7%9B%A4%E5%A5%97-21001825970093?itemId=21003106795641&vendorItemId=21071094557867&sourceType=search&rank=12&searchId=59c5a18b417848608f600cff327cf4c4&q=%E7%AD%86%E9%9B%BB
"Kavalan 折疊式鋁合金筆電 平板支架 大 95-KAV01595-KAV015, 1個","$1,188",https://www.tw.coupang.com/products/Kavalan-%E6%8A%98%E7%96%8A%E5%BC%8F%E9%8B%81%E5%90%88%E9%87%91%E7%AD%86%E9%9B%BB-%E5%B9%B3%E6%9D%BF%E6%94%AF%E6%9E%B6-%E5%A4%A7-95-KAV01595-KAV015-290735148482564?itemId=290736129933316&vendorItemId=290735148482561&sourceType=search&rank=13&searchId=59c5a18b417848608f600cff327cf4c4&q=%E7%AD%86%E9%9B%BB
"Home Planet 折疊式筆電支架+手機支架組, 黑色, 1組",$249,https://www.tw.coupang.com/products/Home-Planet-%E6%8A%98%E7%96%8A%E5%BC%8F%E7%AD%86%E9%9B%BB%E6%94%AF%E6%9E%B6%2B%E6%89%8B%E6%A9%9F%E6%94%AF%E6%9E%B6%E7%B5%84-21004674285120?itemId=21005848037894&vendorItemId=21073146292768&sourceType=search&rank=14&searchId=59c5a18b417848608f600cff327cf4c4&q=%E7%AD%86%E9%9B%BB
"VIEWSEE MacBook 透明保護殼, 透明",$336,https://www.tw.coupang.com/products/VIEWSEE-MacBook-%E9%80%8F%E6%98%8E%E4%BF%9D%E8%AD%B7%E6%AE%BC-21006164206161?itemId=21015934407977&vendorItemId=21083141331427&sourceType=search&rank=15&searchId=59c5a18b417848608f600cff327cf4c4&q=%E7%AD%86%E9%9B%BB
"danny house 羅技k380無線鍵盤膜, 1個",$174,https://www.tw.coupang.com/products/danny-house-%E7%BE%85%E6%8A%80k380%E7%84%A1%E7%B7%9A%E9%8D%B5%E7%9B%A4%E8%86%9C-21001634732171?itemId=21002788207190&vendorItemId=21071206780962&sourceType=search&rank=16&searchId=59c5a18b417848608f600cff327cf4c4&q=%E7%AD%86%E9%9B%BB
"New'N MacBook 筆記型電腦包 CP58, 深灰色",$592,https://www.tw.coupang.com/products/New'N-MacBook-%E7%AD%86%E8%A8%98%E5%9E%8B%E9%9B%BB%E8%85%A6%E5%8C%85-CP58-21004394004376?itemId=21005210488965&vendorItemId=21072519618881&sourceType=search&rank=17&searchId=59c5a18b417848608f600cff327cf4c4&q=%E7%AD%86%E9%9B%BB
