product_name,product_price,product_url
"倍潔雅 抽取式衛生紙 2層 150張, 14包, 4袋",$662,https://www.tw.coupang.com/products/%E5%80%8D%E6%BD%94%E9%9B%85-%E6%8A%BD%E5%8F%96%E5%BC%8F%E8%A1%9B%E7%94%9F%E7%B4%99-2%E5%B1%A4-150%E5%BC%B5-260961294336002?itemId=260962187706369&vendorItemId=260961294336000&sourceType=search&rank=&searchId=65dcc433c62645dca31dcc4416b57de6&q=%E8%A1%9B%E7%94%9F%E7%B4%99
"Scott 可麗舒 柔韌抽取式衛生紙 100張, 10包, 1袋",$100,https://www.tw.coupang.com/products/Scott-%E5%8F%AF%E9%BA%97%E8%88%92-%E6%9F%94%E9%9F%8C%E6%8A%BD%E5%8F%96%E5%BC%8F%E8%A1%9B%E7%94%9F%E7%B4%99-100%E5%BC%B5-156236364365840?itemId=156236364365841&vendorItemId=156236762808325&sourceType=search&rank=1&searchId=65dcc433c62645dca31dcc4416b57de6&q=%E8%A1%9B%E7%94%9F%E7%B4%99
"得意 連續抽取式花紋衛生紙 100張, 10包, 7袋",$641,https://www.tw.coupang.com/products/%E5%BE%97%E6%84%8F-%E9%80%A3%E7%BA%8C%E6%8A%BD%E5%8F%96%E5%BC%8F%E8%8A%B1%E7%B4%8B%E8%A1%9B%E7%94%9F%E7%B4%99-100%E5%BC%B5-257300782612480?itemId=204080769122315&vendorItemId=204080769122312&sourceType=search&rank=2&searchId=65dcc433c62645dca31dcc4416b57de6&q=%E8%A1%9B%E7%94%9F%E7%B4%99
"倍潔雅 好韌真 抽取式衛生紙 3層 100張, 10包, 2袋",$261,https://www.tw.coupang.com/products/%E5%80%8D%E6%BD%94%E9%9B%85-%E5%A5%BD%E9%9F%8C%E7%9C%9F-%E6%8A%BD%E5%8F%96%E5%BC%8F%E8%A1%9B%E7%94%9F%E7%B4%99-3%E5%B1%A4-100%E5%BC%B5-288090916618245?itemId=288088886558725&vendorItemId=288089943556112&sourceType=search&rank=3&searchId=65dcc433c62645dca31dcc4416b57de6&q=%E8%A1%9B%E7%94%9F%E7%B4%99
"LIVI 優活 抽取式衛生紙 2層, 24包, 1袋",$236,https://www.tw.coupang.com/products/LIVI-%E5%84%AA%E6%B4%BB-%E6%8A%BD%E5%8F%96%E5%BC%8F%E8%A1%9B%E7%94%9F%E7%B4%99-2%E5%B1%A4-263190915006475?itemId=263192836014083&vendorItemId=263192831819778&sourceType=search&rank=4&searchId=65dcc433c62645dca31dcc4416b57de6&q=%E8%A1%9B%E7%94%9F%E7%B4%99
"唯潔雅 抽取式衛生紙 100張, 12包, 6袋",$619,https://www.tw.coupang.com/products/%E5%94%AF%E6%BD%94%E9%9B%85-%E6%8A%BD%E5%8F%96%E5%BC%8F%E8%A1%9B%E7%94%9F%E7%B4%99-100%E5%BC%B5-258455856201746?itemId=258456741183496&vendorItemId=258455856201733&sourceType=search&rank=5&searchId=65dcc433c62645dca31dcc4416b57de6&q=%E8%A1%9B%E7%94%9F%E7%B4%99
"倍潔雅 抽取式衛生紙 2層 150張, 14包, 8袋","$1,226",https://www.tw.coupang.com/products/%E5%80%8D%E6%BD%94%E9%9B%85-%E6%8A%BD%E5%8F%96%E5%BC%8F%E8%A1%9B%E7%94%9F%E7%B4%99-2%E5%B1%A4-150%E5%BC%B5-260961294336002?itemId=271775598329863&vendorItemId=271776646938625&sourceType=search&rank=6&searchId=65dcc433c62645dca31dcc4416b57de6&q=%E8%A1%9B%E7%94%9F%E7%B4%99
"LIVI 優活 柔拭紙巾面紙 方型包 2層 300張, 30包",$279,https://www.tw.coupang.com/products/LIVI-%E5%84%AA%E6%B4%BB-%E6%9F%94%E6%8B%AD%E7%B4%99%E5%B7%BE%E9%9D%A2%E7%B4%99-%E6%96%B9%E5%9E%8B%E5%8C%85-2%E5%B1%A4-300%E5%BC%B5-258455856201744?itemId=258456741183494&vendorItemId=258454870507524&sourceType=search&rank=7&searchId=65dcc433c62645dca31dcc4416b57de6&q=%E8%A1%9B%E7%94%9F%E7%B4%99
"得意 連續抽取式花紋衛生紙 100張, 12包, 7袋",$768,https://www.tw.coupang.com/products/%E5%BE%97%E6%84%8F-%E9%80%A3%E7%BA%8C%E6%8A%BD%E5%8F%96%E5%BC%8F%E8%8A%B1%E7%B4%8B%E8%A1%9B%E7%94%9F%E7%B4%99-100%E5%BC%B5-257300782612480?itemId=204081385668614&vendorItemId=204080769122304&sourceType=search&rank=8&searchId=65dcc433c62645dca31dcc4416b57de6&q=%E8%A1%9B%E7%94%9F%E7%B4%99
"倍潔雅 好韌真 抽取式衛生紙 3層 100張, 12包",$157,https://www.tw.coupang.com/products/%E5%80%8D%E6%BD%94%E9%9B%85-%E5%A5%BD%E9%9F%8C%E7%9C%9F-%E6%8A%BD%E5%8F%96%E5%BC%8F%E8%A1%9B%E7%94%9F%E7%B4%99-3%E5%B1%A4-100%E5%BC%B5-374808810307584?itemId=374808810340353&vendorItemId=374808810323968&sourceType=search&rank=9&searchId=65dcc433c62645dca31dcc4416b57de6&q=%E8%A1%9B%E7%94%9F%E7%B4%99
