product_name,product_price,product_url
"United Athle 素面短T #5001, 深卡其",$157,https://www.tw.coupang.com/products/United-Athle-%E7%B4%A0%E9%9D%A2%E7%9F%ADT-%235001-159487562301495?itemId=159487990153232&vendorItemId=159487562301443&sourceType=search&rank=&searchId=6607a4b2992542a1a8e4607dd030a9d1&q=%E8%A1%A3%E6%9C%8D
"planet re:maker 中性款露營涼感短袖T恤, 海軍藍",$286,https://www.tw.coupang.com/products/planet-re%3Amaker-%E4%B8%AD%E6%80%A7%E6%AC%BE%E9%9C%B2%E7%87%9F%E6%B6%BC%E6%84%9F%E7%9F%AD%E8%A2%96T%E6%81%A4-21006583172307?itemId=21014823120926&vendorItemId=21082062652240&sourceType=search&rank=1&searchId=6607a4b2992542a1a8e4607dd030a9d1&q=%E8%A1%A3%E6%9C%8D
CARET 男款運動短褲,$213,https://www.tw.coupang.com/products/CARET-%E7%94%B7%E6%AC%BE%E9%81%8B%E5%8B%95%E7%9F%AD%E8%A4%B2-154451063029769?itemId=154451851575300&vendorItemId=154451461521408&sourceType=search&rank=2&searchId=6607a4b2992542a1a8e4607dd030a9d1&q=%E8%A1%A3%E6%9C%8D
CARET 女款機能型內搭褲,$189,https://www.tw.coupang.com/products/CARET-%E5%A5%B3%E6%AC%BE%E6%A9%9F%E8%83%BD%E5%9E%8B%E5%85%A7%E6%90%AD%E8%A4%B2-154466418393089?itemId=154466414198816&vendorItemId=154465625653263&sourceType=search&rank=3&searchId=6607a4b2992542a1a8e4607dd030a9d1&q=%E8%A1%A3%E6%9C%8D
Apinar 捲袖短袖襯衫,$347,https://www.tw.coupang.com/products/Apinar-%E6%8D%B2%E8%A2%96%E7%9F%AD%E8%A2%96%E8%A5%AF%E8%A1%AB-21007473852845?itemId=21019507220266&vendorItemId=21086616175978&sourceType=search&rank=4&searchId=6607a4b2992542a1a8e4607dd030a9d1&q=%E8%A1%A3%E6%9C%8D
"planet re:maker 中性款北極熊露營圖案涼感短袖T恤, 白色",$286,https://www.tw.coupang.com/products/planet-re%3Amaker-%E4%B8%AD%E6%80%A7%E6%AC%BE%E5%8C%97%E6%A5%B5%E7%86%8A%E9%9C%B2%E7%87%9F%E5%9C%96%E6%A1%88%E6%B6%BC%E6%84%9F%E7%9F%AD%E8%A2%96T%E6%81%A4-21006581561583?itemId=21014813210843&vendorItemId=21082052862770&sourceType=search&rank=5&searchId=6607a4b2992542a1a8e4607dd030a9d1&q=%E8%A1%A3%E6%9C%8D
NIKE 男款 PARK 20 SWOOSH 短袖 T恤,$520,https://www.tw.coupang.com/products/NIKE-%E7%94%B7%E6%AC%BE-PARK-20-SWOOSH-%E7%9F%AD%E8%A2%96-T%E6%81%A4-21007853847247?itemId=21021415638145&vendorItemId=21088471914941&sourceType=search&rank=6&searchId=6607a4b2992542a1a8e4607dd030a9d1&q=%E8%A1%A3%E6%9C%8D
UNI.J 女士 Werin V領開叉短袖 T恤,$328,https://www.tw.coupang.com/products/UNI.J-%E5%A5%B3%E5%A3%AB-Werin-V%E9%A0%98%E9%96%8B%E5%8F%89%E7%9F%AD%E8%A2%96-T%E6%81%A4-21005600642791?itemId=21009017352772&vendorItemId=21076303795192&sourceType=search&rank=7&searchId=6607a4b2992542a1a8e4607dd030a9d1&q=%E8%A1%A3%E6%9C%8D
"Bonaraon 華夫格分層短袖 T 卹, 03灰色",$340,https://www.tw.coupang.com/products/Bonaraon-%E8%8F%AF%E5%A4%AB%E6%A0%BC%E5%88%86%E5%B1%A4%E7%9F%AD%E8%A2%96-T-%E5%8D%B9-21007322332699?itemId=21018783039589&vendorItemId=21085914374617&sourceType=search&rank=8&searchId=6607a4b2992542a1a8e4607dd030a9d1&q=%E8%A1%A3%E6%9C%8D
"PANG PANG SHOP 短袖連身蛋糕裙, 深灰色",$570,https://www.tw.coupang.com/products/PANG-PANG-SHOP-%E7%9F%AD%E8%A2%96%E9%80%A3%E8%BA%AB%E8%9B%8B%E7%B3%95%E8%A3%99-198936841109505?itemId=198938091028481&vendorItemId=198938091028480&sourceType=search&rank=9&searchId=6607a4b2992542a1a8e4607dd030a9d1&q=%E8%A1%A3%E6%9C%8D
